iter,time,train_loss,train_acc,train_acc_full,valid_loss,valid_acc,valid_acc_full
0,1763833295.5558853,2.4553041458129883,0.11179147660732269,0.0,4.381520497798919,0.11127794366329909,0.0
500,1763833630.3293235,2.2124951733169085,0.11316758733207281,0.0,2.1974318444728853,0.11266358681023121,0.0
1000,1763833847.7855968,2.1970584371835398,0.11548833304727824,0.0,2.1968550503253934,0.11509499493986368,0.0
1500,1763834065.3177714,0.7821710943670368,0.6605664313436622,0.0,0.5491065502166748,0.7558253392577171,0.0
2000,1763834283.170062,0.4069302559764688,0.8068490299394762,0.00016627290687577597,0.3932657830417156,0.8118686318397522,0.00029296875
2500,1763834501.0254724,0.34762999670314493,0.8371043809725933,0.00244865580176078,0.3294911228120327,0.8490978166460991,0.00712890625
3000,1763834718.851104,0.21266850188275976,0.9121443781759574,0.08012987522695847,0.18274982795119285,0.9260075390338898,0.11083984375
3500,1763834936.6820347,0.11162835527184979,0.9569719100577783,0.3183308266058093,0.09817642141133547,0.9625031605362893,0.37753906249999997
4000,1763835177.3025231,0.06743876017621465,0.9749347238017823,0.5329666114495006,0.059582039900124076,0.978093321621418,0.5716796875000001
4500,1763835396.0283976,0.04534382981174355,0.9833868175938887,0.6618962422594802,0.04220636077225208,0.9848075151443482,0.68642578125
5000,1763835614.807755,0.033269543025274656,0.9880029160730679,0.7445598037490094,0.03305558762513101,0.9879802659153938,0.746875
5500,1763835833.5432656,0.027566745842233672,0.9901677297930529,0.7870918206897008,0.025513082928955554,0.9906990230083466,0.7924804687500001
6000,1763836052.2907538,0.02225507219838347,0.9920914704781788,0.825079644892431,0.020222349977120756,0.9928184151649475,0.838671875
6500,1763836271.0692227,0.01928750214764088,0.9931762280121911,0.8471628819361878,0.019110515271313487,0.9931212708353996,0.84658203125
7000,1763836489.8316703,0.017029594435791905,0.9940205733314678,0.8653862432239869,0.015560399810783564,0.9945348665118218,0.8759765625
7500,1763836708.505465,0.015552441530960337,0.9945994798525425,0.8774769138902737,0.014347844757139683,0.9950932756066322,0.8908203125
8000,1763836927.6153588,0.013624817994951192,0.9952621968561856,0.8926866762574103,0.012791416863910854,0.9954556107521058,0.89931640625
8500,1763837146.4852562,0.012183831900598503,0.9957429318204882,0.9002750839503042,0.012604538770392536,0.9955126404762268,0.901953125
9000,1763837365.3176024,0.011492877333004132,0.9959838953640842,0.9071093328506648,0.011619443073868752,0.9959109053015709,0.9060546875
9500,1763837584.324945,0.010827146961532653,0.9962248425023706,0.9118985337726218,0.011293015407864005,0.9961364090442657,0.91396484375
10000,1763837803.2164428,0.009861119832892066,0.9965025263946801,0.9187461229351483,0.010170891252346338,0.9964551135897637,0.9185546875
10500,1763838022.3713715,0.009736988194095856,0.9966127042172563,0.9223775755194462,0.00946861043339595,0.9966148853302002,0.92060546875
11000,1763838241.3395512,0.008978907638874769,0.9968506495868186,0.9274075896536328,0.009251174109522255,0.9967903852462768,0.92421875
11500,1763838460.227311,0.00852648064788344,0.9970672588732702,0.932147544181257,0.008152191841509194,0.9971587866544723,0.93125
12000,1763838678.9735088,0.007974936934276713,0.9972270359918917,0.9346360833444504,0.008089588978327813,0.9970681130886078,0.93115234375
12500,1763838897.6826053,0.007636376354841892,0.9973420990011994,0.93812618648556,0.008061130379792301,0.9970946848392487,0.93193359375
13000,1763839116.5118906,0.007057687034630271,0.9975223065893157,0.9418279240579759,0.007318406738340855,0.9974069699645043,0.9390625
13500,1763839335.3809884,0.007093264114745083,0.997568560962837,0.9428021088702655,0.006780478940345347,0.9976308673620224,0.94423828125
14000,1763839554.1654236,0.006504752840169755,0.9977903743229682,0.9476298318391864,0.006510182103374973,0.9977073714137077,0.946875
14500,1763839772.9618857,0.006299357494453074,0.9978343997534077,0.9482490637281479,0.00643832313362509,0.9977567583322525,0.948828125
15000,1763839991.696839,0.005961146508166407,0.9979536578652054,0.9510081157911564,0.0058832649257965376,0.9979057163000107,0.950390625
15500,1763840210.446207,0.005847623303922745,0.9979473138750914,0.951490255826108,0.005444479448487982,0.998110617697239,0.9546875
16000,1763840428.0911448,0.005655741354631207,0.998083436400186,0.9541834508002006,0.006601283961208538,0.9978849783539772,0.95078125
16500,1763840645.719872,0.005196146946351211,0.9982130350354316,0.9569511368518852,0.0056536946911364796,0.9980651512742043,0.9541015625
17000,1763840863.414547,0.005232795849968959,0.9982285960128872,0.9574305394344331,0.0055534264771267775,0.9981457024812699,0.95546875
17500,1763841082.2343063,0.005250881810881779,0.9982150368225822,0.9570063386666539,0.005294626433169469,0.9981646031141281,0.95615234375
18000,1763841301.0042934,0.004947673150897126,0.9982865706053569,0.9593225402254666,0.0052575362147763375,0.9981625661253929,0.9568359375
18500,1763841519.7910192,0.004976961802414288,0.9983156626973599,0.9597658008581014,0.004887705418514089,0.9982576489448547,0.95888671875
19000,1763841738.4698422,0.004599969503973055,0.9984312195822831,0.9616377065737265,0.004808295596740208,0.9983815848827362,0.9611328125
19500,1763841956.0282075,0.004799082853191254,0.998338504450076,0.9601862162247541,0.005088362819515168,0.9982534483075142,0.9595703125
20000,1763842174.8624356,0.004305927211557249,0.998527969019461,0.9645904707782039,0.004536678292788565,0.9984419152140618,0.9625
20500,1763842392.4521692,0.004211998244197324,0.9985506831627395,0.9648376606924858,0.004667082533705979,0.9984207928180695,0.9615234375
21000,1763842611.3741198,0.00437159600437545,0.9985037059632353,0.9633543291503779,0.004529542685486377,0.9984936699271202,0.96396484375
21500,1763842830.2635467,0.004206946107177777,0.9985195403987915,0.9647275722550791,0.004113126476295293,0.9986344993114471,0.9658203125
22000,1763843047.9817495,0.004050479454559074,0.9986178540338396,0.9667085140115603,0.004297170936479235,0.9984524294734001,0.96279296875
22500,1763843265.6252677,0.003963370975210309,0.9986168016966118,0.9662363979272912,0.004128403641516343,0.9985907644033432,0.96669921875
23000,1763843483.3123121,0.0038404900935433777,0.998688130791048,0.9682908080297177,0.0045688030048040675,0.9984377086162567,0.96337890625
23500,1763843700.9504042,0.003756297114886256,0.9987169169732434,0.9686338681672156,0.004171760281315075,0.9985801830887795,0.96806640625
24000,1763843919.8518713,0.003842222845899773,0.998678427594916,0.968319383498403,0.0039601522614248095,0.9986239925026894,0.96611328125
24500,1763844137.6280932,0.0037012580077785996,0.9987214671521406,0.9692328178829952,0.004078135738382116,0.9986881092190742,0.9697265625
25000,1763844356.5326166,0.003695333695314292,0.9987872917000593,0.970503558535376,0.0034836469159927217,0.9988285064697265,0.9720703125
25500,1763844574.2655356,0.003695983211768055,0.9987260905678834,0.9689351355447144,0.0039647560974117365,0.9986137673258781,0.967578125
26000,1763844791.904268,0.0036674878429979354,0.9987163186411113,0.9695297115832407,0.0037953058403218166,0.998698665201664,0.9697265625
26500,1763845010.8015804,0.0033631423112949806,0.998866538559342,0.9724862275224995,0.003210300010687206,0.9989631488919258,0.9740234375
27000,1763845228.590815,0.003554840480948582,0.9988079242642424,0.9709298715755049,0.0034705182886682453,0.9987914979457855,0.9703125
27500,1763845446.289293,0.0030588639858802787,0.9989566098001919,0.9746675785859616,0.003211790311615914,0.9989237636327744,0.97373046875
28000,1763845663.9578786,0.0033792517559187406,0.9988480988652649,0.972252257956283,0.003479984204750508,0.9988555774092674,0.97314453125
28500,1763845881.6738217,0.0032504004230911807,0.9989094594799268,0.9737071725416501,0.0035563160316087307,0.9987997397780418,0.9712890625
29000,1763846100.432264,0.0029110782718131164,0.9990178770243576,0.9758376934756848,0.0031466495071072126,0.9988682061433792,0.9712890625
29500,1763846318.039335,0.0032268999405295823,0.9989308606077083,0.9737695284744502,0.00330237407470122,0.9988471671938897,0.9736328125
30000,1763846535.6112564,0.002865469441251694,0.9990398580855891,0.9764778876493622,0.0031850189639953896,0.9989383324980736,0.97529296875
30500,1763846753.343452,0.003252176100361499,0.9988981482712209,0.9730136867831107,0.003240023729449604,0.9988410323858261,0.97216796875
31000,1763846970.9634075,0.0029067634769810824,0.9990100049046905,0.9757422334034672,0.003666083118878305,0.9986964777112007,0.96923828125
31500,1763847188.6581511,0.002838793760507831,0.9990478902174528,0.9763413008834424,0.0032097319170134144,0.9989548280835152,0.9751953125
32000,1763847406.302254,0.0027122427478655804,0.9990889898515196,0.9771587391556142,0.003256355026678648,0.9988370791077614,0.971484375
32500,1763847625.1235049,0.002652755826477652,0.9990996713487614,0.9772650323485566,0.00308728197705932,0.9989405244588851,0.97451171875
33000,1763847842.7422953,0.003174830730379849,0.998933057539792,0.9738944900082542,0.0031854527071118353,0.9989591911435127,0.97431640625
33500,1763848060.4342058,0.0027482206468079293,0.999058881908712,0.9769580155495272,0.0034365559578873215,0.998859615623951,0.9724609375
34000,1763848278.0422466,0.0027237688735126378,0.9990905721959316,0.9775030500987087,0.0032168178993742915,0.9989034906029701,0.975
34500,1763848496.4971318,0.002650391781946775,0.9990592292808009,0.9766341082946357,0.0030491773679386823,0.9988933503627777,0.97412109375
35000,1763848714.0370426,0.0027890954255913123,0.9990369341262714,0.9765000462843956,0.003116058846353553,0.9989447727799415,0.9744140625
35500,1763848932.487724,0.002430773966921556,0.9991442690920497,0.978631451413483,0.002687397877161857,0.9990421801805496,0.97880859375
36000,1763849150.0769398,0.0026895641356490885,0.9991054192019391,0.9781478307482788,0.0031577412941260264,0.9989345818758011,0.974609375
36500,1763849367.6976306,0.002646708404869063,0.9991024351180566,0.9777877108381728,0.00326593900390435,0.9988808795809746,0.97392578125
37000,1763849585.3635385,0.0025368642662476786,0.9991527938373616,0.9790114942415489,0.002812895088572987,0.9990071684122086,0.97587890625
37500,1763849802.9789088,0.002676048484714204,0.9991044879173292,0.9782838065039061,0.002854181772272568,0.9990686044096947,0.97861328125
38000,1763850020.660532,0.0028719387233224246,0.9990421197811765,0.9776137643144817,0.003414934722241014,0.9988391250371933,0.9724609375
38500,1763850238.2809348,0.0025436399577615345,0.9991374997688929,0.9786125295259516,0.002899554817122407,0.9990170389413834,0.97646484375
39000,1763850455.8653061,0.002346195803101002,0.9992181259248599,0.9801195072479257,0.002770542391226627,0.9990666642785072,0.9779296875
39500,1763850674.6918008,0.002248569822702011,0.9992518145410499,0.9808390636535794,0.0025320529282907957,0.9991577565670013,0.97958984375
40000,1763850892.3899612,0.002365802304278,0.9991889998895095,0.9799612799585448,0.0027069249947089696,0.999133150279522,0.9779296875
40500,1763851110.0232437,0.002251669485644836,0.999221375319492,0.9796869810007208,0.0026491924334550282,0.9990792438387871,0.9791015625
41000,1763851327.6283088,0.002570435403136711,0.9991326258092932,0.9794875592996687,0.002779897167056333,0.9990089476108551,0.97734375
41500,1763851545.3422346,0.002570534516245844,0.9991577528030837,0.979132783314622,0.0027309207333019005,0.9990667164325714,0.97705078125
42000,1763851763.020345,0.002512548269737221,0.9991531793089298,0.9791653829684906,0.002691189519828186,0.9990582272410393,0.977734375
42500,1763851980.6551163,0.0024348770233077314,0.9991906220521468,0.9803655392319726,0.0025993466886575336,0.9991495475172997,0.97919921875
43000,1763852198.3060944,0.002233088311660956,0.999243233869995,0.981118791719454,0.0026697804511059075,0.999108336865902,0.97958984375
43500,1763852415.974802,0.002172922726542108,0.9992514780781169,0.9811402067166692,0.0025952766300179064,0.9991020753979682,0.9802734375
44000,1763852634.9121509,0.0020972503344615576,0.9992753882070238,0.9818639841507348,0.002354348787048365,0.9991372764110565,0.9802734375
44500,1763852852.4624403,0.0023599281460807637,0.9992305020037594,0.9811582134002018,0.0024801169987767936,0.999138854444027,0.98076171875
45000,1763853070.0312366,0.0021841270452030875,0.9992641615420239,0.9819693244952493,0.00237737528514117,0.9991248771548271,0.981640625
