iter,time,train_loss,train_acc,train_acc_full,valid_loss,valid_acc,valid_acc_full
0,1763806411.890736,2.365274429321289,0.11345580965280533,0.0,4.003278589248657,0.11127794366329909,0.0
500,1763806511.027925,2.2098125761829066,0.11275310338173301,0.0,2.1976161301136017,0.11302831340581179,0.0
1000,1763806610.4029675,1.8670447982459646,0.30016428827282043,0.0,1.4456630170345306,0.45948665887117385,0.0
1500,1763806710.0752661,0.4931369611320915,0.7764154499668874,6.269578648339522e-05,0.4462882287800312,0.7923565357923508,0.0
2000,1763806809.7482316,0.39997436016891236,0.805745615010397,0.0003446085204223663,0.3921767234802246,0.808016411960125,0.00048828125
2500,1763806909.4965727,0.3737213173871117,0.8131460332205878,0.0008198699467533733,0.36978604048490527,0.8139152735471725,0.0005859375
3000,1763807009.2001743,0.3526225429253136,0.825401818413419,0.0011609913151390883,0.3455078110098838,0.8317330598831176,0.00302734375
3500,1763807108.817503,0.303898200564939,0.8598258038232752,0.005109382145770659,0.2892927773296833,0.8700757697224617,0.0078125
4000,1763807225.5817177,0.20768180533636843,0.9140016397844298,0.07103306902690652,0.18156636208295823,0.9270406261086463,0.10673828125
4500,1763807325.9147005,0.11651956306735618,0.9553329578070064,0.2734086301372957,0.10367626901715994,0.9606120392680169,0.29990234375
5000,1763807426.386531,0.08002851218989898,0.9703735090860443,0.4296260018767023,0.07358236294239758,0.9727653279900551,0.45771484375
5500,1763807526.793324,0.05959246933183054,0.9783407203190508,0.5394602930739821,0.05603608647361398,0.979340235888958,0.5562499999999999
6000,1763807627.1541932,0.046272500023066244,0.9833417851087488,0.6224041520725108,0.04164995057508349,0.9851300328969955,0.6523437500000001
6500,1763807727.5312233,0.03801959430708265,0.9863856450208769,0.6794429850909164,0.03879178715869784,0.9863926947116852,0.67900390625
7000,1763807827.8919022,0.032445312431955614,0.9884738331819093,0.7192070562857023,0.030733786849305035,0.9892144948244095,0.73076171875
7500,1763807928.2564247,0.028730818784487598,0.9898232265246113,0.7511583968833729,0.026807126030325888,0.9904815390706062,0.7611328125
8000,1763808028.8065605,0.024889654617465135,0.9913088443220704,0.7813602060084676,0.02362604015506804,0.9917460769414902,0.7898437500000001
8500,1763808128.9972048,0.0225533701605751,0.9921010964339564,0.7999330057444883,0.02104807086288929,0.9925837069749832,0.80791015625
9000,1763808229.153396,0.020925242221582034,0.992659971427054,0.8122731294704554,0.019896252406761048,0.9930593878030777,0.8177734375
9500,1763808329.3218968,0.018997516428675643,0.9933383056994716,0.8281018121955543,0.01930612521246076,0.9931676983833313,0.82177734375
10000,1763808429.4285195,0.017501781763616265,0.9939007699688975,0.8392262478714095,0.01707647431176156,0.9940548613667488,0.84345703125
10500,1763808529.6147316,0.016704971883654624,0.9941331577959304,0.8470140059406998,0.016499536996707316,0.9942286312580109,0.85322265625
11000,1763808629.6947682,0.015240330517368592,0.9947542151100622,0.8610044470777934,0.014614023268222809,0.9949653729796409,0.868359375
11500,1763808729.8835385,0.014605922152467714,0.994920349845914,0.8651151568157203,0.014448756631463767,0.9949733883142471,0.86669921875
12000,1763808830.2491858,0.01365922587707796,0.9952478800225733,0.8741225162930162,0.013951961509883403,0.9951738625764847,0.87353515625
12500,1763808930.5644486,0.012724747778445008,0.9955926868360869,0.8835614112619726,0.013138321274891496,0.9954635754227639,0.87919921875
13000,1763809030.628516,0.012457413037894336,0.9957106749951847,0.8841024456976062,0.011844499642029403,0.996051461994648,0.893359375
13500,1763809130.7749627,0.011909827239199752,0.9958734988173821,0.8886509705657554,0.011353435646742582,0.9959707170724869,0.88896484375
14000,1763809231.0254097,0.011560253782312738,0.9960412836424621,0.8943945728212215,0.010806495032738894,0.9963225185871124,0.90361328125
14500,1763809331.1213422,0.011018371090509021,0.9961803273229108,0.8941709524452359,0.010799206909723578,0.9962854191660881,0.90185546875
15000,1763809431.2281907,0.010451007316121082,0.996386717915679,0.9014510495378706,0.010667483299039304,0.9963185653090477,0.903515625
15500,1763809531.4945796,0.010101415002678867,0.996566682306994,0.9067315741079476,0.009642137249466031,0.9966227233409881,0.91328125
16000,1763809631.1111813,0.009727384922364853,0.9966435739858821,0.9084110170216129,0.00974890311481431,0.9967428207397461,0.91640625
16500,1763809731.1426857,0.009206651565185017,0.9968401175098229,0.9138986581387172,0.00957224073354155,0.9968297198414803,0.915625
17000,1763809831.2310636,0.009195982618282058,0.9968274557161361,0.9134965750197624,0.009026079962495714,0.996902248263359,0.91748046875
17500,1763809931.3710752,0.008633969380155208,0.9970451777774714,0.9193160037558488,0.00895216987701133,0.9969393879175186,0.91787109375
18000,1763810031.4984207,0.008433013446140853,0.997106320900967,0.9209655571699012,0.008784900279715659,0.9970178216695785,0.9205078125
18500,1763810131.15108,0.008629867878541895,0.9970701678329484,0.9214621417514032,0.00889017010340467,0.9969806805253029,0.9189453125
19000,1763810231.227538,0.00785537350923168,0.9973151260235877,0.9266281771130088,0.0076994859147816895,0.9973636478185653,0.92880859375
19500,1763810330.9804997,0.0077350353998014215,0.997401991475671,0.9284467176717948,0.008324659918434917,0.9971152693033218,0.92373046875
