2026/09/20 15:00:32.059, 0, 2, 18.50, 30
2026/09/20 15:00:33.098, 1, 544, 42.67, 32
2026/09/20 15:00:34.131, 2, 630, 71.42, 32
2026/09/20 15:00:35.163, 0, 662, 72.09, 32
2026/09/20 15:00:36.195, 2, 758, 73.16, 33
2026/09/20 15:00:37.227, 0, 822, 71.32, 33
2026/09/20 15:00:38.260, 0, 854, 71.91, 33
2026/09/20 15:00:39.294, 0, 854, 70.99, 33
2026/09/20 15:00:40.326, 2, 854, 71.68, 33
2026/09/20 15:00:41.363, 0, 982, 73.79, 33
2026/09/20 15:00:42.396, 2, 1078, 73.69, 33
2026/09/20 15:00:43.427, 0, 1206, 73.63, 33
2026/09/20 15:00:44.459, 0, 1206, 72.19, 33
2026/09/20 15:00:45.489, 2, 1206, 71.22, 33
2026/09/20 15:00:46.519, 2, 1366, 74.73, 33
2026/09/20 15:00:47.550, 2, 1462, 74.82, 33
2026/09/20 15:00:48.580, 0, 1590, 73.04, 33
2026/09/20 15:00:49.612, 0, 1590, 71.78, 33
2026/09/20 15:00:50.650, 2, 1654, 73.10, 33
2026/09/20 15:00:51.686, 2, 1814, 74.86, 33
2026/09/20 15:00:52.733, 5, 1910, 74.56, 33
2026/09/20 15:00:53.781, 0, 1942, 72.50, 33
2026/09/20 15:00:54.814, 2, 1942, 71.20, 33
2026/09/20 15:00:55.846, 2, 2102, 74.83, 33
2026/09/20 15:00:56.876, 0, 2134, 72.78, 33
2026/09/20 15:00:57.908, 0, 2134, 71.21, 33
2026/09/20 15:00:58.942, 0, 2400, 70.89, 33
2026/09/20 15:00:59.974, 2, 2400, 72.15, 33
2026/09/20 15:01:01.008, 2, 2400, 74.74, 33
2026/09/20 15:01:02.046, 0, 2400, 73.94, 34
2026/09/20 15:01:03.077, 0, 2400, 71.21, 33
2026/09/20 15:01:04.107, 2, 2400, 73.62, 34
2026/09/20 15:01:05.139, 2, 2400, 74.63, 34
2026/09/20 15:01:06.169, 0, 2400, 74.13, 34
2026/09/20 15:01:07.200, 0, 2400, 72.45, 34
2026/09/20 15:01:08.232, 0, 2400, 71.82, 34
2026/09/20 15:01:09.264, 2, 2400, 74.38, 34
2026/09/20 15:01:10.297, 2, 2400, 74.95, 35
2026/09/20 15:01:11.329, 0, 2400, 73.87, 34
2026/09/20 15:01:12.360, 0, 2400, 71.46, 34
2026/09/20 15:01:13.389, 7, 2400, 75.38, 34
2026/09/20 15:01:14.419, 2, 2400, 74.71, 34
2026/09/20 15:01:15.450, 0, 2400, 73.56, 34
2026/09/20 15:01:16.481, 0, 2400, 72.58, 34
2026/09/20 15:01:17.513, 2, 2400, 72.15, 34
2026/09/20 15:01:18.544, 0, 2400, 75.13, 34
2026/09/20 15:01:19.575, 4, 2400, 75.32, 34
2026/09/20 15:01:20.607, 5, 2400, 75.21, 34
2026/09/20 15:01:21.637, 0, 2400, 73.61, 34
2026/09/20 15:01:22.671, 0, 2400, 71.80, 34
2026/09/20 15:01:23.703, 2, 2400, 75.02, 34
2026/09/20 15:01:24.735, 2, 2400, 75.13, 34
2026/09/20 15:01:25.767, 0, 2400, 73.56, 34
2026/09/20 15:01:26.799, 0, 2400, 70.89, 34
2026/09/20 15:01:27.829, 0, 2400, 73.24, 34
2026/09/20 15:01:28.862, 2, 2400, 75.55, 34
2026/09/20 15:01:29.895, 0, 2400, 73.25, 34
2026/09/20 15:01:30.928, 0, 2400, 72.01, 34
2026/09/20 15:01:31.961, 2, 2400, 72.40, 34
2026/09/20 15:01:32.996, 4, 2400, 75.40, 34
2026/09/20 15:01:34.030, 0, 2400, 75.68, 34
2026/09/20 15:01:35.061, 2, 2400, 73.64, 34
2026/09/20 15:01:36.091, 0, 2400, 71.34, 34
2026/09/20 15:01:37.123, 0, 2400, 73.70, 34
2026/09/20 15:01:38.152, 0, 2400, 75.34, 34
2026/09/20 15:01:39.183, 0, 2432, 72.43, 34
2026/09/20 15:01:40.218, 0, 2464, 72.78, 34
2026/09/20 15:01:41.251, 0, 2528, 73.51, 34
2026/09/20 15:01:42.283, 0, 2530, 69.96, 34
2026/09/20 15:01:43.312, 0, 2690, 108.90, 36
2026/09/20 15:01:44.342, 2, 2690, 87.21, 35
2026/09/20 15:01:45.373, 0, 2690, 75.45, 35
2026/09/20 15:01:46.405, 2, 2690, 72.52, 35
2026/09/20 15:01:47.436, 0, 2690, 70.51, 34
2026/09/20 15:01:48.466, 2, 2690, 71.74, 34
2026/09/20 15:01:49.496, 2, 2690, 73.72, 35
2026/09/20 15:01:50.527, 0, 2690, 73.38, 34
2026/09/20 15:01:51.557, 0, 2690, 72.54, 34
2026/09/20 15:01:52.589, 0, 2690, 69.82, 34
2026/09/20 15:01:53.621, 7, 2690, 73.07, 35
2026/09/20 15:01:54.662, 2, 2690, 73.89, 35
2026/09/20 15:01:55.695, 5, 2690, 72.41, 34
2026/09/20 15:01:56.725, 0, 2690, 70.51, 34
2026/09/20 15:01:57.760, 0, 2690, 71.17, 34
2026/09/20 15:01:58.791, 4, 2690, 73.57, 35
2026/09/20 15:01:59.823, 2, 2690, 73.66, 35
2026/09/20 15:02:00.855, 0, 2690, 72.62, 35
2026/09/20 15:02:01.887, 0, 2690, 69.44, 34
2026/09/20 15:02:02.918, 7, 2690, 73.31, 35
2026/09/20 15:02:03.949, 73, 2690, 104.71, 37
2026/09/20 15:02:04.979, 2, 2690, 103.38, 37
2026/09/20 15:02:06.010, 0, 2690, 94.58, 36
2026/09/20 15:02:07.040, 0, 2690, 72.95, 35
2026/09/20 15:02:08.069, 0, 2690, 72.55, 35
2026/09/20 15:02:09.099, 2, 2690, 75.15, 35
2026/09/20 15:02:10.128, 2, 2690, 75.14, 35
2026/09/20 15:02:11.158, 0, 2690, 73.75, 35
2026/09/20 15:02:12.192, 0, 2690, 71.36, 35
2026/09/20 15:02:13.223, 8, 2690, 74.95, 36
2026/09/20 15:02:14.252, 0, 2690, 75.81, 35
2026/09/20 15:02:15.283, 5, 2690, 74.20, 35
2026/09/20 15:02:16.314, 0, 2690, 71.90, 35
2026/09/20 15:02:17.343, 2, 2690, 73.44, 35
2026/09/20 15:02:18.374, 4, 2690, 75.55, 35
2026/09/20 15:02:19.405, 0, 2690, 74.42, 35
2026/09/20 15:02:20.440, 0, 2690, 73.40, 35
2026/09/20 15:02:21.472, 2, 2690, 72.24, 35
2026/09/20 15:02:22.506, 2, 2690, 76.46, 36
2026/09/20 15:02:23.537, 23, 2690, 107.64, 37
2026/09/20 15:02:24.568, 2, 2690, 102.82, 37
2026/09/20 15:02:25.598, 5, 2690, 93.98, 36
2026/09/20 15:02:26.629, 0, 2690, 72.53, 35
2026/09/20 15:02:27.660, 1, 2690, 72.69, 35
2026/09/20 15:02:28.692, 2, 2690, 74.76, 35
2026/09/20 15:02:29.722, 0, 2690, 75.20, 35
2026/09/20 15:02:30.754, 0, 2690, 73.42, 35
2026/09/20 15:02:31.784, 2, 2690, 71.49, 35
2026/09/20 15:02:32.813, 6, 2690, 74.33, 35
2026/09/20 15:02:33.843, 2, 2690, 74.34, 35
2026/09/20 15:02:34.873, 0, 2690, 74.00, 35
2026/09/20 15:02:35.903, 0, 2690, 71.27, 35
2026/09/20 15:02:36.934, 0, 2690, 72.17, 35
2026/09/20 15:02:37.964, 2, 2690, 74.90, 35
2026/09/20 15:02:38.992, 0, 2690, 74.20, 35
2026/09/20 15:02:40.022, 0, 2690, 73.33, 35
2026/09/20 15:02:41.052, 0, 2690, 71.82, 35
2026/09/20 15:02:42.083, 2, 2690, 73.21, 35
2026/09/20 15:02:43.114, 2, 2690, 74.92, 35
2026/09/20 15:02:44.144, 2, 2690, 116.75, 37
2026/09/20 15:02:45.174, 2, 2690, 102.82, 37
2026/09/20 15:02:46.205, 0, 2690, 82.80, 36
2026/09/20 15:02:47.235, 0, 2690, 71.50, 35
2026/09/20 15:02:48.270, 2, 2690, 73.27, 36
2026/09/20 15:02:49.303, 2, 2690, 75.13, 35
2026/09/20 15:02:50.334, 0, 2690, 73.71, 35
2026/09/20 15:02:51.364, 0, 2690, 73.44, 35
2026/09/20 15:02:52.393, 2, 2690, 71.67, 35
2026/09/20 15:02:53.424, 0, 2690, 74.80, 35
2026/09/20 15:02:54.455, 1, 2690, 75.22, 35
2026/09/20 15:02:55.486, 2, 2690, 74.15, 35
2026/09/20 15:02:56.516, 0, 2690, 71.10, 35
2026/09/20 15:02:57.546, 2, 2690, 73.58, 35
2026/09/20 15:02:58.576, 2, 2690, 75.38, 36
2026/09/20 15:02:59.608, 0, 2690, 73.88, 35
2026/09/20 15:03:00.638, 0, 2690, 72.61, 35
2026/09/20 15:03:01.667, 2, 2690, 72.36, 35
2026/09/20 15:03:02.697, 0, 2690, 74.55, 35
2026/09/20 15:03:03.728, 2, 2690, 119.42, 37
2026/09/20 15:03:04.758, 0, 2690, 102.93, 37
2026/09/20 15:03:05.788, 0, 2690, 83.02, 36
2026/09/20 15:03:06.817, 0, 2690, 71.66, 36
2026/09/20 15:03:07.848, 0, 2690, 73.59, 36
2026/09/20 15:03:08.877, 4, 2690, 75.60, 36
2026/09/20 15:03:09.908, 0, 2690, 73.30, 35
2026/09/20 15:03:10.938, 0, 2690, 72.71, 35
2026/09/20 15:03:11.968, 2, 2690, 72.61, 35
2026/09/20 15:03:12.998, 0, 2690, 74.75, 36
2026/09/20 15:03:14.029, 2, 2690, 75.09, 36
2026/09/20 15:03:15.057, 0, 2690, 74.01, 35
2026/09/20 15:03:16.087, 0, 2690, 71.05, 35
2026/09/20 15:03:17.115, 0, 2690, 73.55, 35
2026/09/20 15:03:18.145, 2, 2690, 76.67, 36
2026/09/20 15:03:19.177, 5, 2690, 74.83, 35
2026/09/20 15:03:20.209, 0, 2690, 72.71, 35
2026/09/20 15:03:21.240, 0, 2690, 73.11, 35
2026/09/20 15:03:22.272, 2, 2690, 75.51, 36
2026/09/20 15:03:23.302, 2, 2690, 120.56, 37
2026/09/20 15:03:24.333, 2, 2690, 102.91, 37
2026/09/20 15:03:25.362, 0, 2690, 77.08, 36
2026/09/20 15:03:26.394, 0, 2690, 71.29, 36
2026/09/20 15:03:27.426, 8, 2690, 74.78, 36
2026/09/20 15:03:28.458, 0, 2690, 75.14, 36
2026/09/20 15:03:29.491, 5, 2690, 74.47, 36
2026/09/20 15:03:30.524, 0, 2690, 71.95, 36
2026/09/20 15:03:31.555, 2, 2690, 73.03, 36
2026/09/20 15:03:32.588, 2, 2690, 74.95, 36
2026/09/20 15:03:33.620, 0, 2690, 74.39, 36
2026/09/20 15:03:34.652, 0, 2690, 73.32, 36
2026/09/20 15:03:35.684, 2, 2690, 72.38, 36
2026/09/20 15:03:36.715, 0, 2690, 75.14, 36
2026/09/20 15:03:37.747, 2, 2690, 75.20, 36
2026/09/20 15:03:38.780, 2, 2690, 73.97, 36
2026/09/20 15:03:39.812, 0, 2690, 71.55, 36
2026/09/20 15:03:40.843, 2, 2690, 73.75, 36
2026/09/20 15:03:41.875, 64, 2690, 98.24, 39
2026/09/20 15:03:42.907, 4, 2690, 107.56, 38
2026/09/20 15:03:43.938, 5, 2690, 102.89, 37
2026/09/20 15:03:44.968, 0, 2690, 73.27, 36
2026/09/20 15:03:45.998, 0, 2690, 72.07, 36
2026/09/20 15:03:47.028, 2, 2690, 75.22, 36
2026/09/20 15:03:48.060, 0, 2690, 74.81, 36
2026/09/20 15:03:49.091, 0, 2690, 73.47, 36
2026/09/20 15:03:50.122, 0, 2690, 71.01, 36
2026/09/20 15:03:51.156, 0, 2690, 73.79, 36
2026/09/20 15:03:52.188, 4, 2690, 76.44, 36
2026/09/20 15:03:53.219, 0, 2690, 74.44, 36
2026/09/20 15:03:54.250, 0, 2690, 72.90, 36
2026/09/20 15:03:55.282, 2, 2690, 72.49, 36
2026/09/20 15:03:56.313, 2, 2690, 75.58, 36
2026/09/20 15:03:57.345, 2, 2690, 75.57, 36
2026/09/20 15:03:58.376, 0, 2690, 73.41, 36
2026/09/20 15:03:59.407, 0, 2690, 71.28, 36
2026/09/20 15:04:00.439, 0, 2690, 73.37, 36
2026/09/20 15:04:01.471, 72, 2690, 109.12, 38
2026/09/20 15:04:02.504, 4, 2690, 103.45, 38
2026/09/20 15:04:03.535, 0, 2690, 97.64, 37
2026/09/20 15:04:04.566, 0, 2690, 72.83, 36
2026/09/20 15:04:05.615, 2, 2690, 72.41, 36
2026/09/20 15:04:06.647, 0, 2690, 74.94, 36
2026/09/20 15:04:07.679, 0, 2690, 75.26, 36
2026/09/20 15:04:08.710, 0, 2690, 73.35, 36
2026/09/20 15:04:09.740, 1, 2690, 71.07, 36
2026/09/20 15:04:10.771, 2, 2690, 75.15, 36
2026/09/20 15:04:11.804, 0, 2690, 75.82, 36
2026/09/20 15:04:12.835, 0, 2690, 74.54, 36
2026/09/20 15:04:13.866, 0, 2690, 71.98, 36
2026/09/20 15:04:14.898, 2, 2690, 73.50, 36
2026/09/20 15:04:15.935, 4, 2690, 75.74, 36
2026/09/20 15:04:16.972, 5, 2690, 74.69, 36
2026/09/20 15:04:18.002, 0, 2690, 72.91, 36
2026/09/20 15:04:19.035, 2, 2690, 72.13, 36
2026/09/20 15:04:20.065, 0, 2690, 75.39, 36
2026/09/20 15:04:21.095, 2, 2690, 117.10, 38
2026/09/20 15:04:22.124, 2, 2690, 103.26, 38
2026/09/20 15:04:23.155, 0, 2690, 91.59, 37
2026/09/20 15:04:24.186, 0, 2690, 72.51, 36
2026/09/20 15:04:25.214, 4, 2690, 74.16, 36
2026/09/20 15:04:26.245, 2, 2690, 76.24, 36
2026/09/20 15:04:27.275, 0, 2690, 74.48, 36
2026/09/20 15:04:28.306, 0, 2690, 73.30, 36
2026/09/20 15:04:29.337, 2, 2690, 72.46, 36
2026/09/20 15:04:30.376, 0, 2690, 75.45, 36
2026/09/20 15:04:31.409, 2, 2690, 75.97, 36
2026/09/20 15:04:32.442, 0, 2690, 74.85, 36
2026/09/20 15:04:33.474, 0, 2690, 71.95, 36
2026/09/20 15:04:34.505, 0, 2690, 74.36, 36
2026/09/20 15:04:35.536, 2, 2690, 76.58, 36
2026/09/20 15:04:36.567, 0, 2690, 74.15, 36
2026/09/20 15:04:37.598, 0, 2690, 73.19, 36
2026/09/20 15:04:38.629, 2, 2690, 72.67, 36
2026/09/20 15:04:39.661, 2, 2690, 75.73, 36
2026/09/20 15:04:40.692, 0, 2690, 120.01, 38
2026/09/20 15:04:41.723, 2, 2690, 104.03, 38
2026/09/20 15:04:42.754, 0, 2690, 82.32, 36
2026/09/20 15:04:43.785, 0, 2690, 71.79, 36
2026/09/20 15:04:44.817, 0, 2690, 74.04, 36
2026/09/20 15:04:45.848, 2, 2690, 76.21, 36
2026/09/20 15:04:46.879, 0, 2690, 73.88, 36
2026/09/20 15:04:47.912, 0, 2690, 73.02, 36
2026/09/20 15:04:48.944, 2, 2690, 73.02, 36
2026/09/20 15:04:49.974, 2, 2690, 76.27, 36
2026/09/20 15:04:51.005, 0, 2690, 75.82, 36
2026/09/20 15:04:52.035, 0, 2690, 73.65, 36
2026/09/20 15:04:53.066, 2, 2690, 72.03, 36
2026/09/20 15:04:54.098, 5, 2690, 75.46, 36
2026/09/20 15:04:55.130, 2, 2690, 76.88, 36
2026/09/20 15:04:56.162, 0, 2690, 73.82, 36
2026/09/20 15:04:57.193, 0, 2690, 73.07, 36
2026/09/20 15:04:58.224, 2, 2690, 73.25, 36
2026/09/20 15:04:59.255, 2, 2690, 75.62, 36
2026/09/20 15:05:00.288, 4, 2690, 123.54, 38
2026/09/20 15:05:01.318, 0, 2690, 103.68, 38
2026/09/20 15:05:02.349, 0, 2690, 80.25, 37
2026/09/20 15:05:03.381, 2, 2690, 72.49, 36
2026/09/20 15:05:04.411, 2, 2690, 75.86, 36
2026/09/20 15:05:05.443, 2, 2690, 76.21, 36
2026/09/20 15:05:06.482, 0, 2690, 74.28, 36
2026/09/20 15:05:07.532, 0, 2690, 72.55, 36
2026/09/20 15:05:08.562, 4, 2690, 73.92, 36
2026/09/20 15:05:09.593, 3, 2690, 75.21, 36
2026/09/20 15:05:10.623, 5, 2690, 75.13, 36
2026/09/20 15:05:11.657, 0, 2690, 73.01, 36
2026/09/20 15:05:12.689, 0, 2690, 71.79, 36
2026/09/20 15:05:13.720, 2, 2690, 75.46, 36
